architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
static_team,10,143,0,0,0,0,1,21
corpus_mesh,10,143,1,0,0,0,0,30
single,10,144,1,0,0,0,0,10
reflection,10,144,1,0,4,4,0,14
static_team,10,144,1,1,1,1,0,21
corpus_mesh,10,144,1,1,1,1,0,32
single,10,145,1,0,0,0,0,10
reflection,10,145,1,0,1,1,0,11
static_team,10,145,1,0,0,0,0,20
corpus_mesh,10,145,1,1,1,1,0,32
single,10,146,1,0,0,0,0,10
reflection,10,146,1,0,2,2,0,12
static_team,10,146,1,0,0,0,0,20
corpus_mesh,10,146,1,0,0,0,0,30
single,10,147,1,0,0,0,0,10
reflection,10,147,1,0,1,1,0,11
static_team,10,147,1,0,0,0,0,20
corpus_mesh,10,147,1,1,1,1,0,32
single,10,148,1,0,0,0,0,10
reflection,10,148,1,0,5,5,0,15
static_team,10,148,1,1,1,1,0,21
corpus_mesh,10,148,1,0,0,0,0,30
single,10,149,1,0,0,0,0,10
reflection,10,149,1,0,7,7,0,17
static_team,10,149,1,0,0,0,0,20
corpus_mesh,10,149,1,0,0,0,0,30
single,10,150,1,0,0,0,0,10
reflection,10,150,1,0,3,3,0,13
static_team,10,150,1,0,0,0,0,20
corpus_mesh,10,150,1,0,0,0,0,30
single,10,151,1,0,0,0,0,10
reflection,10,151,1,0,3,3,0,13
static_team,10,151,1,0,0,0,0,20
corpus_mesh,10,151,1,0,0,0,0,30
single,10,152,1,0,0,0,0,10
reflection,10,152,1,0,4,4,0,14
static_team,10,152,1,1,1,1,0,21
corpus_mesh,10,152,1,0,0,0,0,30
single,10,153,1,0,0,0,0,10
reflection,10,153,1,0,1,1,0,11
static_team,10,153,1,0,0,0,0,20
corpus_mesh,10,153,1,0,0,0,0,30
single,10,154,1,0,0,0,0,10
reflection,10,154,1,0,0,0,0,10
static_team,10,154,1,0,0,0,0,20
corpus_mesh,10,154,1,1,1,1,0,32
single,10,155,0,1,0,0,1,10
reflection,10,155,1,0,3,3,0,13
static_team,10,155,1,0,0,0,0,20
corpus_mesh,10,155,0,1,1,1,1,34
single,10,156,1,0,0,0,0,10
reflection,10,156,1,0,4,4,0,14
static_team,10,156,1,1,1,1,0,21
corpus_mesh,10,156,1,0,0,0,0,30
single,10,157,1,0,0,0,0,10
reflection,10,157,1,0,2,2,0,12
static_team,10,157,1,0,0,0,0,20
corpus_mesh,10,157,1,0,0,0,0,30
single,10,158,1,0,0,0,0,10
reflection,10,158,1,0,3,3,0,13
static_team,10,158,1,0,0,0,0,20
corpus_mesh,10,158,1,0,0,0,0,30
single,10,159,1,0,0,0,0,10
reflection,10,159,1,0,3,3,0,13
static_team,10,159,1,0,0,0,0,20
corpus_mesh,10,159,1,0,0,0,0,30
single,10,160,1,0,0,0,0,10
reflection,10,160,1,0,4,4,0,14
static_team,10,160,1,1,1,1,0,21
corpus_mesh,10,160,1,1,1,1,0,32
single,10,161,1,0,0,0,0,10
reflection,10,161,1,0,4,4,0,14
static_team,10,161,1,1,1,1,0,21
corpus_mesh,10,161,1,0,0,0,0,30
single,10,162,1,0,0,0,0,10
reflection,10,162,0,1,4,4,1,14
static_team,10,162,1,0,0,0,0,20
corpus_mesh,10,162,1,1,1,1,0,32
single,10,163,1,0,0,0,0,10
reflection,10,163,0,0,4,3,1,14
static_team,10,163,1,0,0,0,0,20
corpus_mesh,10,163,1,0,0,0,0,30
single,10,164,1,0,0,0,0,10
reflection,10,164,0,1,2,2,1,12
static_team,10,164,1,0,0,0,0,20
corpus_mesh,10,164,1,0,0,0,0,30
single,10,165,1,0,0,0,0,10
reflection,10,165,0,0,2,1,1,12
static_team,10,165,1,0,0,0,0,20
corpus_mesh,10,165,1,0,0,0,0,30
single,10,166,1,0,0,0,0,10
reflection,10,166,1,0,2,2,0,12
static_team,10,166,1,0,0,0,0,20
corpus_mesh,10,166,1,0,0,0,0,30
single,10,167,1,0,0,0,0,10
reflection,10,167,1,0,3,3,0,13
static_team,10,167,1,2,2,2,0,22
corpus_mesh,10,167,1,0,0,0,0,32
single,10,168,0,1,0,0,1,10
reflection,10,168,1,0,3,3,0,13
static_team,10,168,1,0,0,0,0,20
corpus_mesh,10,168,1,0,0,0,0,30
